position;tag;type;Valeur_numérique;Unite;Date;identi;dim;form 
79;Equity;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
80;Equity;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
81;Equity and liabilities;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
82;Equity and liabilities;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
83;Profit loss;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
84;Profit loss;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
85;Adjustments for depreciation and amortisation expense;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
86;Adjustments for depreciation and amortisation expense;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
87;Adjustments for provisions;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
88;Adjustments for provisions;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
89;Adjustments for losses gains on disposal of noncurrent assets;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
90;Adjustments for losses gains on disposal of noncurrent assets;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
91;Adjustments for finance income cost;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
92;Adjustments for finance income cost;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
93;Other adjustments for noncash items;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
94;Other adjustments for noncash items;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
95;Adjustments for decrease increase in trade and other receivables;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
96;Adjustments for decrease increase in trade and other receivables;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
97;Adjustments for increase decrease in trade and other payables;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
98;Adjustments for increase decrease in trade and other payables;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
99;Interest received classified as operating activities;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
100;Interest received classified as operating activities;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
101;Cash flows from used in operating activities;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
102;Cash flows from used in operating activities;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
103;Proceeds from disposals of property plant and equipment intangible assets other than goodwill investment property and other noncurrent assets;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
